id	url	estudio_clinico	tipo_estudio	fase_estudio_clinico	condicion_primaria_estudio	condicion_secundaria_estudio	tipo_celula	pais	n_participantes	edad_min_participante	edad_max_participante	genero_participante	n_patrocinadores	fecha_inicio	fecha_conclusion
11	https://hpscreg.eu/browse/trial/208	A Multicenter Study to Evaluate Safety, Tolerability, and Clinical Responses of DSP-1083 Into Subjects with Parkinson's Disease	Interventional	Phase 1	Parkinson's Disease		dopaminergic neuron	United States	12	40.0	69.0	All	1	2024-12-18	2029-03-01
12	https://hpscreg.eu/browse/trial/191	Ph I Trial of Cell Based Therapy for DMD	Interventional	Phase 1	Duchenne Muscular Dystrophy			United States	8	18.0		All	1	2024-12-16	2027-03-03
13	https://hpscreg.eu/browse/trial/190	Treating Parkinson's Disease Through Transplantation of Autologous Stem Cell-Derived Dopaminergic Neurons	Interventional	Phase 1	Parkinson Disease		dopaminergic neuron	United States	8	45.0	80.0	All	1	2024-12-01	2028-12-31
14	https://hpscreg.eu/browse/trial/192	Induced Pluripotent Stem Cells Derived Natural Killer Cells Therapy for Refractory and Relaps Acute Myelogenous Leukemia (iNK-r/r AML)	Interventional	Early Phase 1	Acute Myeloid Leukemia (AML)		natural killer cell	China	10	18.0	80.0	All	1	2024-11-25	2026-11-24
15	https://hpscreg.eu/browse/trial/195	A Phase 1/​2 Study of NRTX-1001 Neuronal Cell Therapy in Drug-Resistant Bilateral Mesial Temporal Lobe Epilepsy (MTLE)	Interventional	Phase 2	Epilepsy, Temporal Lobe		interneuron	United States	10	18.0	75.0	All	1	2024-11-14	2040-07-15
16	https://hpscreg.eu/browse/trial/196	A PHASE IIB, RANDOMIZED, ASSESSOR-MASKED, MULTICENTER CLINICAL TRIAL TO ASSESS THE SAFETY AND EFFICACY OF SUBRETINAL IMPLANTATION OF THE CPCB-RPE1 IMPLANT IN SUBJECTS WITH ADVANCED, DRY AMD (GEOGRAPHIC ATROPHY) (PATCH-AMD)	Interventional	Phase 2	Geographic Atrophy		retinal pigment epithelial cell		24	55.0	90.0	All	1	2024-10-01	2040-12-31
17	https://hpscreg.eu/browse/trial/194	The Safety, Tolerability and Preliminary Efficacy of NouvNeu001 for Early-onset Parkinson's Disease	Interventional	Phase 1	Early-onset Parkinson's Disease		dopaminergic neuron	China	6	18.0	70.0	All	1	2024-08-23	2027-03-01
18	https://hpscreg.eu/browse/trial/169	Autologous iPSC-Derived Dopamine Neuron Transplantation for Parkinson's Disease	Interventional	Phase 1	Parkinson Disease		dopaminergic neuron	United States	6	55.0	80.0	All	1	2024-08-07	2027-12-31
19	https://hpscreg.eu/browse/trial/159	A Study of CNTY-101 in Participants With Refractory B Cell-mediated Autoimmune Diseases (CALiPSO-1) (CALiPSO-1)	Interventional	Phase 1	Lupus Nephritis		natural killer cell	United States	48	17.0		All	1	2024-08-02	2028-08-31
20	https://hpscreg.eu/browse/trial/136	Ph1 Study of FT538 Alone and With Vorinostat for Persistent Low-Level HIV Viremia	Interventional	Phase 1	Cd4+ Lymphocyte Deficiency		natural killer cell	United States		18.0	65.0	All	1	2024-07-15	2024-08-21
21	https://hpscreg.eu/browse/trial/164	Intraperitoneal FT536 in Recurrent Ovarian, Fallopian Tube, and Primary Peritoneal Cancer	Interventional	Phase 1	Ovarian Cancer		natural killer cell	United States	33	18.0		All	1	2024-07-11	2029-06-30
22	https://hpscreg.eu/browse/trial/182	Clinical study to evaluate the safety and efficacy of human-induced pluripotent stem cell-derived platelets in patients with acute leukemia undergoing chemotherapy-induced thrombocytopenia	Interventional study	Other	Thrombocytopenia caused by chemotherapy for acute leukemia		platelet	CHINA	3	14.0		Both	1	2024-07-02	2029-07-01
23	https://hpscreg.eu/browse/trial/189	Follow-up study of human induced Pluripotent Stem (iPS) cell-derived cardiomyocyte spheroids in patients with severe heart failure, secondary to ischemic heart disease, undergoing coronary artery bypass grafting	Interventional	Phase 2	Heart failure with ischemic heart disease	Ischemic heart disease, Heart Failure, Coronary artery bypass grafting (CABG)	cardiac muscle cell		10	20.0	80.0	Both	0	2024-06-13	
24	https://hpscreg.eu/browse/trial/181	Transplantation of Human iPS Cell-derived Dopaminergic Progenitors (CT1-DAP001) for Parkinson's Disease (Phase I/II) CT1-DAP001	Interventional	Phase 1	PD - Parkinson's Disease		dopaminergic neuron	United States	7	40.0	75.0	All	1	2024-06-01	2028-05-01
25	https://hpscreg.eu/browse/trial/176	The Effect of GD-iExo-003 in Acute Ischemic Stroke ExoCURE	Interventional	Phase 1	Acute Ischemic Stroke			China	29	18.0	70.0	All	1	2024-05-27	2025-08-30
26	https://hpscreg.eu/browse/trial/167	Natural Killer(NK) Cell Therapy Targeting CLL1 or CD33 in Acute Myeloid Leukemia	Interventional	Phase 1	AML, Adult		natural killer cell	China	24	18.0		All	1	2024-04-30	2026-08-31
27	https://hpscreg.eu/browse/trial/168	Safety & Efficacy of Eyecyte-RPE™ in Patients With Geographic Atrophy Secondary to Dry Age-related Macular Degeneration	Interventional	Phases 1/2	Macular Degeneration		retinal pigment epithelial cell	India	54	50.0	100.0	All	1	2024-04-06	2030-12-31
28	https://hpscreg.eu/browse/trial/161	FT819 in Moderate to Severe Active Systemic Lupus Erythematosus	Interventional	Phase 1	Antineutrophilic Cytoplasmic Antibody (ANCA)- Associated Vasculitis (AAV)		T cell	United States	32	12.0	70.0	All	1	2024-03-28	2042-09-30
29	https://hpscreg.eu/browse/trial/198	Clinical Study of Induced Pluripotent Stem Cells Derived Motor Neuron Precursor Cell Therapy for Amyotrophic Lateral Sclerosis (ALS) (iPSC-MNP)		Not applicable			neural stem cell		3					2024-03-13	2025-05-13
30	https://hpscreg.eu/browse/trial/165	A Trial to Evaluate the Safety and Preliminary Efficacy of iMesenchymal Stromal Cells(iMSC) in Subjects With SR-aGVHD	Interventional	Not applicable	Steroid-refractory Acute Graft-versus-host Disease(SR-aGVHD)		mesenchymal stem cell	China	12	4.0	70.0	All	1	2024-02-10	2027-03-02
31	https://hpscreg.eu/browse/trial/157	A Trial to Evaluate the Safety and Preliminary Efficacy of iNK in the Treatment of Subjects With Solid Tumor	Interventional	Not applicable	Solid Tumor		natural killer cell		50	18.0		All	1	2024-02-01	2030-03-01
32	https://hpscreg.eu/browse/trial/149	A Trial to Evaluate the Safety, Tolerability, and Efficacy of NCR100 Injection in the Treatment of Subjects With KOA (NCR100)	Interventional	Phase 1	Knee Osteoarthritis		mesenchymal stem cell		12	40.0	80.0	All	1	2024-01-25	2025-05-31
33	https://hpscreg.eu/browse/trial/162	Phase 1/​2a Study of ANPD001 in Parkinson Disease (ASPERO)	Interventional	Phase 1	Parkinson Disease		dopaminergic neuron	United States	9	50.0	70.0	All	1	2024-01-23	2030-04-30
34	https://hpscreg.eu/browse/trial/193	The Safety, Tolerability and Efficacy of NouvNeu001 for Parkinson's Disease	Interventional	Phases 1/2	Parkinson Disease		dopaminergic neuron	China	40	50.0	75.0	All	1	2024-01-17	2029-07-31
35	https://hpscreg.eu/browse/trial/156	FT825/ONO-8250, an Off-the-Shelf, HER2 CAR-T, With or Without Monoclonal Antibodies in Advanced Solid Tumors	Interventional	Phase 1	Advanced Solid Tumor		T cell	United States	351	18.0		All	1	2024-01-05	2044-05-01
36	https://hpscreg.eu/browse/trial/28	Retinal Pigment Epithelium Safety Study For Patients In B4711001	Observational	Long term follow up	Age Related Macular Degeneration		retinal pigment epithelial cell	United Kingdom	10	60.0		All	1	2024-01-01	2033-05-30
37	https://hpscreg.eu/browse/trial/151	Safety and Feasibility of DopaCell transplantation in patients with Parkinson's disease	interventional	Phase 1	Parkinson's disease.	Parkinson's disease	dopaminergic neuron	Iran (Islamic Republic of)	4	30.0	70.0	Both	1	2023-12-22	
38	https://hpscreg.eu/browse/trial/153	A single-center, phase 1/2a clinical trial to evaluate the safety, maximum tolerated dose, and exploratory efficacy of MR-MC-01 treatment in patients with underactive bladder	Interventional Study	Phases 1/2	Diseases of the genitourinary system		mesenchymal stem cell	Korea, Republic of	33	19.0		Both	1	2023-12-15	
39	https://hpscreg.eu/browse/trial/186	Phase II clinical trial of CAStem cell injection in the treatment of acute graft-versus-host disease	Interventional study	Phase 2	acute graft-versus-host disease			China	18	14.0	70.0	Both	1	2023-12-01	2024-11-30
40	https://hpscreg.eu/browse/trial/155	Clinical trial of human (allogeneic) iPS cell-derived cardiomyocytes sheet for dilated cardiomyopathy	Interventional	Phase 1	Dilated cardiomyopathy		cardiac muscle cell		4	18.0		Both	1	2023-11-25	
41	https://hpscreg.eu/browse/trial/152	A Clinical Trial of Parkinson's Disease Treatment by hiPSCs Derived Dopaminergic Neural Precursor Cells	Interventional	Not applicable	Parkinson's Disease		dopaminergic neuron	China	3	30.0	70.0	All	1	2023-11-23	2025-12-22
42	https://hpscreg.eu/browse/trial/148	FT522 With Rituximab in Relapsed/​Refractory B-Cell Lymphoma (FT522-101)	Interventional	Phase 1	Relapsed/Refractory B-Cell Lymphoma		natural killer cell	United States	166	18.0		All	1	2023-11-16	2044-06-30
43	https://hpscreg.eu/browse/trial/160	A Safety and Tolerability Study of Human Forebrain Neural Progenitor Cells Injection (hNPC01) in Subjects With Chronic Ischemic Stroke	Interventional	Phase 1	Chronic Ischemic Stroke		neural stem cell	China	21	30.0	65.0	All	1	2023-11-09	2025-12-30
44	https://hpscreg.eu/browse/trial/175	Natural Killer (NK) Cells (XS005) Injection Combined With Stupp Regimen for Adjuvant Chemotherapy in Subjects With Primary Glioblastoma(GBM)	Interventional	Phases 1/2	Tumor		natural killer cell	China	30	18.0	70.0	All	1	2023-10-29	2025-12-29
45	https://hpscreg.eu/browse/trial/154	A Phase I/II Study of Evaluate the Safety and Efficacy of HLCR011 in Patients with Retinal Pigment Epithelium Tear	Interventional	Phases 1/2	retinal pigment epithelium tear		retinal pigment epithelial cell		21	18.0		Both	0	2023-10-18	
46	https://hpscreg.eu/browse/trial/185	Efficacy and safety of CAStem cell injection in the treatment of acute exacerbation of interstitial lung disease (AE-ILD)	Interventional study	Phase 2	Acute exacerbation of interstitial lung disease			China	45	18.0	75.0	Both	1	2023-09-21	2025-12-31
47	https://hpscreg.eu/browse/trial/180	Long Term Follow-up of Patients With Parkinson's Disease Who Had Administered of A9-DPC in SB-PD-001 Study	Interventional	Long term follow up	Parkinson's Disease		dopaminergic neuron	Korea, Republic of	12	50.0	75.0	All	1	2023-09-14	2029-06-29
48	https://hpscreg.eu/browse/trial/163	Epicardial Injection of hiPSC-CMs to Treat Severe Chronic Ischemic Heart Failure		Phases 1/2			cardiac muscle cell		36					2023-09-05	2025-03-05
49	https://hpscreg.eu/browse/trial/133	A Study of CYP-001 in Combination With Corticosteroids in Adults With High-risk aGvHD	Interventional	Phase 2	Graft Versus Host Disease, Acute		Mesenchymal Stem Cell	Australia	60	18.0		All	1	2023-08-31	2026-12-31
50	https://hpscreg.eu/browse/trial/183	Safety and Efficacy of MCA-derived Mesenchymal Stromal Cell Therapy in Renal Transplant Recipients: The Nereid Study*	Interventional	Phases 1/2	10038430		mesenchymal stem cell	Netherlands	16	18.0	99.0		1	2023-07-01	
51	https://hpscreg.eu/browse/trial/142	An exploratory clinical study of islet-like cell transplantation differentiated from autologous induced pluripotent stem cells for the treatmen of type 1 diabetes	Interventional study	Alternative regulatory mechanism	Type 1 Diabetes		progenitor cell of endocrine pancreas	China	3	18.0	60.0	Both	1	2023-06-11	2023-12-01
52	https://hpscreg.eu/browse/trial/178	Induced Pluripotent Stem Cell Derived Exosomes Nasal Drops for the Treatment of Refractory Focal Epilepsy	Interventional	Early Phase 1	Refractory Focal Epilepsy			China	34	18.0	70.0	All	1	2023-06-05	2025-11-13
53	https://hpscreg.eu/browse/trial/138	Treatment of Non-ischemic Cardiomyopathies by Intravenous Extracellular Vesicles of Cardiovascular Progenitor Cells (SECRET-HF)	Interventional	Phase 1	Heart Failure With Reduced Ejection Fraction		cardioblast	France	12	18.0	80.0	All	1	2023-05-31	2026-07-15
54	https://hpscreg.eu/browse/trial/141	Continued Evaluation of Patients With Parkinson's Disease Who Previously Received BRT-DA01	Observational	Long term follow up	Parkinson Disease		dopaminergic neuron	Canada	12	50.0	78.0	All	1	2023-05-16	2027-09-30
55	https://hpscreg.eu/browse/trial/139	A Safety, Tolerability, and Efficacy Study of VX-264 in Participants With Type 1 Diabetes	Interventional	Phases 1/2	Type 1 Diabetes		progenitor cell of endocrine pancreas	Canada	17	18.0	65.0	All	1	2023-05-16	2026-05-31
56	https://hpscreg.eu/browse/trial/140	Study to Evaluate the Safety and Efficacy of ESC-derived Dopamine Progenitor Cell Therapy in PD Patients	Interventional	Phases 1/2	Parkinson's Disease		dopaminergic neuron	Korea, Republic of		50.0	75.0	All	1	2023-05-09	2026-02-07
57	https://hpscreg.eu/browse/trial/150	Observational study one year after transplantation of iPS cell-derived neural precursor/stem cells for spinal cord injury	Observational	Long term follow up	spinal cord injury		neural stem cell	Japan	4	18.0		Male and Female	1	2023-05-01	2035-03-31
58	https://hpscreg.eu/browse/trial/158	Combination therapy of iPS-NKT cell and DC/Gal (Combination therapy of iPS-NKT cell and DC/Gal)	Interventional	Phase 1	Recurrent or advanced head and neck cancer		natural killer cell	Japan	6	20.0	80.0	Both	1	2023-05-01	
59	https://hpscreg.eu/browse/trial/137	MT2021-27 FT538 Recurrent Ovarian, Fallopian Tube, and Primary Peritoneal Cancer	Interventional	Phase 1	Peritoneal Cancer		natural killer cell	United States	33	18.0		All	1	2023-04-28	2028-09-30
60	https://hpscreg.eu/browse/trial/177	Induced Pluripotent Stem Cell Derived Exosomes for the Treatment of Atopic Dermatitis		Early Phase 1					20					2023-04-12	2025-06-30
61	https://hpscreg.eu/browse/trial/132	A Study to Optimize Subretinal Surgical Delivery and to Evaluate Safety and Activity of Opregen in Participants With Geographic Atrophy Secondary to Age-Related Macular Degeneration	Interventional	Phase 2	Geographic Atrophy		retinal pigment epithelial cell	Israel	60	50.0		All	1	2023-03-24	2029-04-11
62	https://hpscreg.eu/browse/trial/166	Safety and Efficacy of Pluripotent Stem Cell-derived Mesenchymal Stem Cell Exosome (PSC-MSC-Exo) Eye Drops Treatment for Dry Eye Diseases Post Refractive Surgery and Associated With Blepharospasm	Interventional	Phases 1/2	Dry Eye Disease		mesenchymal stem cell	China	12	18.0	70.0	All	1	2023-03-01	2025-02-01
63	https://hpscreg.eu/browse/trial/135	Autologous Induced Pluripotent Stem Cells of Cardiac Lineage for Congenital Heart Disease	Interventional	Phase 1	Heart Failure NYHA Class IV		cardiac muscle cell	United States		18.0	40.0	All	1	2023-02-03	2029-02-28
64	https://hpscreg.eu/browse/trial/126	A Study of CNTY-101 in Participants With CD19-Positive B-Cell Malignancies (ELiPSE-1)	Interventional	Phase 1	Indolent Non-Hodgkin Lymphoma		natural killer cell	United States	75	18.0		All	1	2023-01-24	2027-08-31
65	https://hpscreg.eu/browse/trial/62	IPS Differentiated Cardiomyocytes Vein Transplantation for Chronic Heart Failure (IDCVTCHF)		Phase 2/3			cardiac muscle cell		3					2022-12-31	2024-12-31
66	https://hpscreg.eu/browse/trial/146	Natural Killer (NK) Cell Therapy Targeting CD33 in Acute Myeloid Leukemia	Interventional	Phase 1	AML, Adult		natural killer cell	China	19	18.0		All	1	2022-12-24	2025-12-24
67	https://hpscreg.eu/browse/trial/179	FT596 in Combination With R-CHOP in Subjects With B-Cell Lymphoma	Interventional	Phase 1	Follicular Lymphoma					18.0		All	1	2022-12-01	2023-05-01
68	https://hpscreg.eu/browse/trial/127	A Trial to Determine the Safety and Tolerability of Transplanted Stem Cell Derived Dopamine Neurons to the Brains of Individuals With Parkinson's Disease (STEM-PD)	Interventional	Phase 1	Parkinson Disease		dopaminergic neuron	Sweden	8	50.0	75.0	All	1	2022-11-30	2027-11-30
69	https://hpscreg.eu/browse/trial/147	Natural Killer(NK) Cell Therapy for Acute Myeloid Leukemia	Interventional	Phase 1	AML, Adult		natural killer cell	China	18	18.0		All	1	2022-10-28	2025-10-21
70	https://hpscreg.eu/browse/trial/125	Allogeneic iPSC-derived Cardiomyocyte Therapy in Patients With Worsening Ischemic Heart Failure	Interventional	Early Phase 1	Chronic Heart Failure		cardiac muscle cell	China	32	35.0	75.0	All	1	2022-10-09	2025-07-31
71	https://hpscreg.eu/browse/trial/184	Safety and Tolerability of IMMUNA(IMM01-STEM) in Patients With Muscle Atrophy Related to Knee Osteoarthritis	Interventional	Phase 1	Muscle Atrophy			United States	13	50.0	75.0	All	1	2022-09-13	2024-11-08
72	https://hpscreg.eu/browse/trial/119	Safety and Efficacy of Autologous Transplantation of iPSC-RPE in the Treatment of Macular Degeneration		Phase 1			retinal pigment epithelial cell		10					2022-08-01	2026-12-31
73	https://hpscreg.eu/browse/trial/116	Treating Heart Failure With hiPSC-CMs	Interventional	Phases 1/2	Heart Failure		cardiac muscle cell	China	20	35.0	75.0	All	1	2022-06-30	2025-12-30
74	https://hpscreg.eu/browse/trial/120	Clinical trial of human (allogeneic) iPS cell-derived cardiomyocytes sheet for ischemic cardiomyopathy (Follow-up trial)	Observational	Long term follow up	D017202		cardiac muscle cell		10	20.0		Both	1	2022-06-22	
75	https://hpscreg.eu/browse/trial/110	FIH Study of NRTX-1001 Neural Cell Therapy in Drug-Resistant Unilateral Mesial Temporal Lobe Epilepsy	Interventional	Phases 1/2	Mesial Temporal Lobe Epilepsy		interneuron	United States	58	18.0	75.0	All	1	2022-06-16	2042-02-28
76	https://hpscreg.eu/browse/trial/121	Evaluation of knee function and safety after treatment of knee articular cartilage damage with iPS-cell-derived cartilage	Observational	Long term follow up	Articular cartilage damage, Articular cartilage disorder, Osteoarthritis		cartilage tissue		4	20.0		Both	0	2022-06-16	
77	https://hpscreg.eu/browse/trial/187	A study on the effectiveness and safety of CAStem cell injection in the treatment of acute respiratory distress syndrome		Phase 2					72					2022-06-10	2024-03-10
78	https://hpscreg.eu/browse/trial/123	FT536 Monotherapy and in Combination With Monoclonal Antibodies in Advanced Solid Tumors	Interventional	Phase 1	Colorectal Cancer		natural killer cell	United States	5	18.0		All	1	2022-05-31	2023-08-11
79	https://hpscreg.eu/browse/trial/131	A prospective observational study of Induced Pluripoteint Stem Cell-derived Cardiac Spheres transplantation EXTENDed Follow-up	Observational	Long term follow up	severe heart failure		cardiac muscle cell	Japan	3	20.0	75.0	Male and Female	1	2022-04-01	2029-03-31
80	https://hpscreg.eu/browse/trial/114	Human Embryonic Stem Cell-Derived Cardiomyocyte Therapy for Chronic Ischemic Left Ventricular Dysfunction (HECTOR)	Interventional	Phase 1	Chronic Ischemic Left Ventricular Dysfunction		cardiac muscle cell	United States	18	21.0	80.0	All	1	2022-03-22	2025-10-31
81	https://hpscreg.eu/browse/trial/124	Clinical Research of allogeneic iPSC-RPE cell strip transplantation for RPE impaired disease (CR of aiPSC-RPE CSt transplantation forRID)	Interventional	Phases 1/2	RPE impaired disease		retinal pigment epithelial cell	Japan	50	20.0		Both	1	2022-02-22	
82	https://hpscreg.eu/browse/trial/188	The safety, tolerability, and preliminary efficacy of CAStem injection intravenously injected into the knee for meniscus injury in Chinese subjects	Interventional study	Phases 1/2	meniscus injury			China	24	18.0	65.0	Both	1	2022-02-21	2023-06-21
83	https://hpscreg.eu/browse/trial/115	An Open-Label, FIH Study Evaluating the Safety and Tolerability of VCTX210A Combination Product in Subjects With T1D	Interventional	Phase 1	Autoimmune Diseases		progenitor cell of endocrine pancreas	Canada	7	18.0	65.0	All	1	2022-01-24	2023-01-19
84	https://hpscreg.eu/browse/trial/143	Clinical study on the safety and efficacy of human embryonic stem cell-derived retinal pigment epithelial cells transplantation for the treatment of macular hole of high myopia	Interventional study	Other	High myopia macular hole		retinal pigment epithelial cell	China	12	18.0	65.0	Both	1	2022-01-15	2022-12-31
85	https://hpscreg.eu/browse/trial/130	Safety, Tolerability and Efficacy of CYP-006TK in Adults With Diabetic Foot Ulcers	Interventional	Phase 1	Diabetic Foot Ulcer		mesenchymal stem cell	Australia	30	18.0		All	1	2022-01-04	2024-09-30
86	https://hpscreg.eu/browse/trial/122	A Clinical Research on the Safety of Hepatocytes Therapy Generated from Human Embryonic Stem Cells for Patients with Acute or Acute-on-Chronic Liver Failure	Interventional study	Other	Acute or Acute-on-Chronic Liver Failure		hepatocyte	China	10	18.0	60.0	Both	1	2022-01-01	2024-10-31
87	https://hpscreg.eu/browse/trial/84	Regenerative medicine for spinal cord injury at subacute stage using human induced pluripotent stem cell-derived neural stem/progenitor cells	Interventional	Not applicable	spinal cord injury at subacute stage		neural stem cell	Japan	4	18.0		Both	1	2021-12-07	
88	https://hpscreg.eu/browse/trial/118	FT576 in Subjects With Multiple Myeloma	Interventional	Phase 1	Multiple Myeloma		natural killer cell	United States	168	18.0		All	1	2021-11-24	2040-02-29
89	https://hpscreg.eu/browse/trial/145	Natural Killer (NK) Cell Therapy for B-Cell Malignancies	Interventional	Phase 1	B-cell Acute Lymphoblastic Leukemia		natural killer cell	China	24	18.0		All	1	2021-11-04	2024-12-31
90	https://hpscreg.eu/browse/trial/104	FT538 in Combination With Daratumumab in AML Acute Myeloid Leukemia	Interventional	Phase 1	Acute Myeloid Leukemia		natural killer cell	United States	50	12.0		All	1	2021-11-03	2025-12-15
91	https://hpscreg.eu/browse/trial/106	FT538 in Combination With Monoclonal Antibodies in Advanced Solid Tumors	Interventional	Phase 1	Solid Tumor, Adult		natural killer cell	United States	16	18.0		All	1	2021-10-15	2023-08-11
92	https://hpscreg.eu/browse/trial/39	A Study Of Implantation Of Retinal Pigment Epithelium In Subjects With Acute Wet Age Related Macular Degeneration	Interventional	Phase 1	Age Related Macular Degeneration		retinal pigment epithelial cell	United Kingdom	9	60.0		All	1	2021-10-14	2024-06-14
93	https://hpscreg.eu/browse/trial/9	Treating Heart Failure With hPSC-CMs (HEAL-CHF)	Interventional	Phases 1/2	Heart Failure		cardiac muscle cell	China	15	35.0	75.0	All	1	2021-10-08	2024-10-30
94	https://hpscreg.eu/browse/trial/89	phase 1/2a clinical study to evaluate the safety and exploratory efficacy for PSA-NCAM (+) NPC	Interventional Study	Phases 1/2	Injury, poisoning and certain other consequences of external causes		neural progenitor cell	Korea, Republic of	5	18.0	65.0	Both	1	2021-09-23	2030-09-30
95	https://hpscreg.eu/browse/trial/108	Treating Congestive HF With hiPSC-CMs Through Endocardial Injection	Interventional	Phase 1	Dilated Cardiomyopathy		cardiac muscle cell	China	20	18.0	75.0	All	1	2021-09-21	2023-07-31
96	https://hpscreg.eu/browse/trial/105	A Study to Evaluate the Safety, Tolerability, and Exploratory Efficacy of IMS001 in Subjects With Multiple Sclerosis	Interventional	Phase 1	Multiple Sclerosis		mesenchymal stem cell	United States	30	18.0	65.0	All	1	2021-08-31	2027-12-31
97	https://hpscreg.eu/browse/trial/109	MEG-002: Exploratory clinical study in thrombocytopenic patients	Interventional	Phases 1/2	Thrombocytopenia		platelet		10	18.0		Both	0	2021-08-19	
98	https://hpscreg.eu/browse/trial/100	FT819 in Subjects With B-cell Malignancies	Interventional	Phase 1	Chronic Lymphocytic Leukemia		T cell	United States	396	18.0		All	1	2021-07-26	2039-09-30
99	https://hpscreg.eu/browse/trial/107	iPS cell-derived corneal endothelial cell substitutes for bullous keratopathy	Interventional	Not applicable	Bullous keratopathy	Edema, corneal	corneal endothelial cell	Japan	3	45.0	85.0	Both	2	2021-07-15	
100	https://hpscreg.eu/browse/trial/113	A phase I/II study of human induced Pluripotent Stem (iPS) cell-derived cardiomyocyte spheroids in patients with severe heart failure, secondary to ischemic heart disease, undergoing coronary artery bypass grafting (LAPiS Study)	Interventional	Phases 1/2	Heart failure with ischemic heart disease	Ischemic heart disease, Heart Failure, Coronary artery bypass grafting (CABG)	cardiac muscle cell		10	20.0	80.0	Both	0	2021-06-23	
101	https://hpscreg.eu/browse/trial/111	A phase 1 clinical trial of intraperitoneal administration of iCAR-ILC/N101 for ovarian clear cell carcinoma	Interventional	Phase 1	ovarian clear cell carcinoma		natural killer cell		18	20.0		Female	1	2021-05-10	
102	https://hpscreg.eu/browse/trial/102	Phase 1 Study To Assess the Safety and Tolerability of Human Embryonic Stem Cell-Derived Midbrain Dopamine Neuron	Interventional	Phase 1	Advanced Parkinson's Disease		dopaminergic neuron	Canada	12	50.0	78.0	All	1	2021-05-03	2024-06-10
103	https://hpscreg.eu/browse/trial/92	FT516 and IL2 With Enoblituzumab for Ovarian Cancer		Phase 1			natural killer cell		3					2021-04-02	2022-01-01
104	https://hpscreg.eu/browse/trial/112	A Safety, Tolerability, and Efficacy Study of VX-880 in Participants With Type 1 Diabetes	Interventional	Phases 1/2	Severe Hypoglycemia		progenitor cell of endocrine pancreas	Canada	17	18.0	65.0	All	1	2021-03-29	2028-01-31
